facet_desc_0,question_0,answer_1_0,answer_2_0,facet_desc_1,question_1,answer_1_1,answer_2_1,facet_desc_2,question_2,answer_1_2,answer_2_2,facet_desc_3,question_3,answer_1_3,answer_2_3,facet_desc_4,question_4,answer_1_4,answer_2_4
I'm looking for web sites that do antique appraisals.,what type of appraisals do you need informatiom about,I'm looking for web sites that do antique appraisals.,no i want to see websites that do antique appraisals,I'm looking for a source for Euclid truck parts.,are you looking for a company,"Yes, I'm looking for a source for Euclid truck parts.",yes,How do you treat severe angular cheilitis?,are you looking for the definition of angular cheilitis,"No, I'm looking for how to treat severe angular cheilitis.",yes i am looking for treatment,What are the symptoms of von Willebrand Disease?,what kind of information about von willebrand disease do you want to see,I want to know the symptoms of von Willebrand Disease.,yes,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if it was effective for different levels of weight,"Yes, I want to know if it is effective for people who are overweight.",yes i would like to see reviews about it
Find the homepage for the NASA Voyager mission.,are you looking for a specific web page,"Yes, I am looking for the homepage for the NASA Voyager mission.",yes i want to go to the homepage of the mission,home page of the Rocky Mountain News,are you interested in news archives,"No, I just want the home page of the Rocky Mountain News.",no,How is workplace diversity achieved and managed?,are you looking for a specific content related to diversity,"Yes, I want to know how workplace diversity is achieved and managed.",yes i want to kyesw how the workplace is managed,Find a black-and-white outline map of the United States such that a child could color.,are you looking for children coloring books,"Yes, I want a black-and-white outline map of the United States such that a child could color.",no i am looking for a map,"Are Animal Cuts safe to use, and are they effective?",did you want to know if it was effective for different levels of weight,I want to know if Animal Cuts are safe to use and if they are effective.,yes i want to kyesw the animal cuts
How often may atypical squamous cells predict cervical cancer?,would you like to know about treatment for atypical squamous cells,"No, I want to know how often may atypical squamous cells predict cervical cancer.",yes,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",are you looking for information from a specific era in the history of orcas island,any era is fine,yes,What is the common name for angular cheilitis?,are asking what the symptoms are for angular cheilits,"No, I am asking what the common name for angular cheilitis is.",yes,What hobby stores carry trains?,are you looking for hobby stores located in maryland,"No, I want to know what hobby stores carry trains.",yes i am looking for stores that carry trains,"I'm looking for the history of Hoboken, NJ.",do you want information on the climate of hoboken,"No, I want the history of Hoboken.",yes i am looking for the history of the city
Where can I buy rock and roll posters?,are you going to purchase any specific tools,"No, I just want to know where I can buy rock and roll posters.",no i need to buy rock and roll posters,Find information about the NASA Voyager spacecraft and missions.,do you want to know where voyager is now,"Yes, I would like to know where the Voyager spacecraft is now.",no i want to know about the spacecraft and mission,Is Brooks Brothers catalog merchandise available at their outlet stores?,are you trying to find brooks brothers clearance suits,"No, I want to know if Brooks Brothers catalog merchandise is available at their outlet stores.",yes,"Find demographic information about Cass County, MO.",do you want to know about the schools in cass county missouri,"No, I want to know the demographic information about Cass County, MO.",no i want to know about the demographics of the county missouri,quotes about independence,which use of that quote are you interested in,the one about independence,no i want to know about the opinions of men
What do atypical squamous cells mean on a pap smear test?,do you want to see a picture of atypical squamous cells,"No, I want to know what they mean on a pap smear test.",yes,"Find the homepage for the city of Hoboken, NJ.",are you looking for information about the hoboken medical center,"No, I'm looking for the homepage for the city of Hoboken, NJ.",no i want the homepage for the city of Hob,Find information on shoeing horses and horseshoe problems.,do you need horse hoof care tips,"Yes, I would like to know more about shoeing horses and horseshoe problems.",no,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you referring to a software,"No, I'm talking about the Williams arcade game from the 1980s.",yes,What problems have afflicted the Ford Edge car model?,what city and state are you looking for a ford edge repair shop in,I just want to know what problems have afflicted the Ford Edge car model.,i dont kyesw
Provide pressure washer reviews and/or ratings.,are you trying to build a pressure washer,"No, I'm trying to buy one. I need reviews and ratings for pressure washers.",yes i am looking for reviews and ratings,"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know what cities are on the us capitol map,"No, I want a map of the area around the US Capitol, including nearby sites to visit.",no i am looking for a map of the us capitol,Find calorie counts and other nutritional information about Starbucks products.,are you looking for a recipe,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",yes i am looking for the calorie count and other nutritional information for the company,Where can I buy radio-controlled planes?,are you looking for a radiocontrolled plane,"Yes, I want to know where I can buy radio-controlled planes.",no i want information on where i can buy one,Find information about horses' hooves and how to care for them.,are you asking about a horses feet,"Yes, I want to know how to take care of a horse's hooves.",no
Find information about solar panels that I can install on my home.,do you want annual savings totals if you install solar panels,Yes,yes,Where can I go on a hay ride in Pennsylvania?,do you have a designated date and time you would want the hayride in pennsylvania,"No, I just want to know generally where I can go on a hay ride in Pennsylvania.",yes i am looking for a specific date and time,Find information about human memory.,how to cheat at the game memory,"No, I want to know about human memory.",yes i am looking for information on human memory,"Who said ""all men are created equal""?",which use of that quote are you interested in,"I want to know who said ""all men are created equal"".",i dont know,What was the name of Elvis Presley's home?,are you referring to elvis presleys hometown,"No, I'm asking about the name of his home.",yes
What is cultural diversity? What is prejudice?,are you looking for information on a specific diversity program,"no, I would like to know what cultural diversity is and what prejudice is.",yes,What are the different brands of pressure washers?,are you trying to build a pressure washer,"No, I want to know what the different brands of pressure washers are.",no i want to know what brands of pressure washers are available,Find a picture of a blue-throated hummingbird.,do you want to know what they look like,I want to see a picture of one.,no i want to see a picture of a blue bird,What is the website for HobbyTown USA?,why type of hobby arts and crafts or sports,I'm looking for a hobby store that sells model trains.,no,Find information for visitors and immigrants about living in India.,are you intested in statistics on expats residing in india,"No, I'm not interested in statistics.",yes i want information on living in india
Find information about buying real estate in India.,do you want to know what the best thing about living in india is,"No, I want to know about buying real estate in India.",no i am looking for information about buying real estate in india,How often may atypical squamous cells predict cervical cancer?,do you want to learn about atypical squamous cells in a pap smear,"No, I want to know how often may atypical squamous cells predict cervical cancer?",no,Find information on Breeders Cup races.,are you interested in the racing schedule,"Yes, I want to find information on the Breeders Cup races.",yes im interested in the race schedule,Who is the patron saint of mental illness?,are you interested in learning the back story of the patron saint of mental illness,"No, I just want to know who the patron saint of mental illness is.",yes i am interested in his personal biography,I want to find some example wedding budgets.,did you want to see if there was an app to do it,"No, I want to find some example wedding budgets.",yes i am looking for a wedding budget calculator
Where can I learn about rock painting or buy a rock-painting kit?,do you want examples of rock art,"No, I want to learn how to make it.",yes i want to learn about rock painting,Find examples of employee performance appraisals.,are you looking for a type of appraiser,"No, I want to know about employee performance appraisals.",yes i am looking for examples of employee performance appraisals,I want to go to the homepage for Defender Marine Supplies.,is your child playing soccer,"No, I want to go to the homepage for Defender Marine Supplies.",yes,information about Indian tribes that used adobe houses,do you wish to know the location of native american houses,"No, I want to know about Indian tribes that used adobe houses.",yes i want to kyesw about tribes that used an adobe house,The blue-throated hummingbird is native to what areas?,do you want to know what they look like,"No, I want to know what areas the blue-throated hummingbird is native to.",no i want to know where they are in the wild
Are there biodegradable products for the disposal of dog waste?,would you like to know a location to find dog clean bags,"No, I would like to know if there are biodegradable products for the disposal of dog waste.",no i would like to know what products are available for the disposal of dog waste,How do I become a Pampered Chef consultant?,are you trying to buy pampered chef,"No, I want to become a Pampered Chef consultant.",yes i am looking for a professional pampered cook who has,What do atypical squamous cells mean on a pap smear test?,do you want to learn about cervical cancer,"No, I want to know about atypical squamous cells on a pap smear test.",yes,I'd like to order books or videos/CDs about how to construct adobe buildings.,what type of adobe indian house are you looking for,I'd like to order books or videos/CDs about how to construct adobe buildings.,i dont kyesw,What type of careers are there for computer programmers?,are you interested in the history of computer programming,"No, I want to know what type of careers are there for computer programmers.",yes i want to know the types of careers for computer programmers
"Find information about the television series, ""Star Trek: Voyager""",do you want to know which planets voyager has visited,"No, I want to know about the show ""Star Trek: Voyager""",yes,Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,are you interested in the canadian holiday,"No, I'm interested in the American one.",yes i want to know how to celebrate it,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you interested in the isfj personality type,"No, I want to know about the arcade game by Williams.",yes,What are the best ways of disposing of dog waste?,are you looking for a way to dispose your dog wast,"Yes, I want to know the best ways of disposing of dog waste.",yes i am looking for ways to dispose of dog waste,"Find flight information for the Ontario, CA airport.",would you like to know more about ontarioca airport services,"No, I would like to find flight information for the Ontario, CA airport.",yes i would like to kyesw about their airport services
"How has the phrase ""all men are created equal"" been interpreted over time by the US surpreme Court?",would you like to know the gettysburg address,"No, I want to know how the phrase ""all men are created equal"" has been interpreted over time by the US Supreme Court.",yes,What were the major battles in the US civil war?,do you want to know how many people were killed,"No, I want to know about the major battles.",yes i want to know the major battles,What do atypical squamous cells mean on a pap smear test?,would you like to know about treatment for atypical squamous cells,"No, I want to know what they mean on a pap smear test.",no,Find information on the Land Rover Defender sport-utility vehicle.,are you interested in the isfj personality type,"No, I'm not interested in the isfj personality type. I want to know about the Land Rover Defender sport-utility vehicle.",yes,"What services/facilities does the Ontario, CA airport offer?",do you need a map of the area would you like the website address,"No, I don't need a map. Just tell me what services/facilities the airport offers.",yes i need a map of the area
information on the state income tax in Illinois,do you want to know where your refund is or know the tax rate,I want to know the tax rate.,no i want to know about the tax rate in the state,What are the migration patterns of the blue-throated hummingbird?,would you like to know about the current population numbers of blue throated hummingbirds,"No, I want to know about the migration patterns.",no i would like to know the migration patterns of the bluethroated hummingbird,Find testimonials of Universal Animal Cuts nutritional supplement.,did universal animal cuts work for you,I haven't tried it yet.,yes i would like to read about the benefits of animal feeds,How can I plan an inexpensive wedding?,what are your budget priorities for your wedding,I want an inexpensive wedding.,i dont know,Find a map of the inside of the US Capitol.,do you want to know how to access a us capitol map,"No, I want you to find me a map of the inside of the US Capitol.",no
What computer programming languages are there?,are you interested in a coding bootcamp,"No, I just want to know what computer programming languages are there.",no,Find archives of articles from the Milwaukee Journal Sentinel.,which medium do you prefer the newspaper to be in,I would like the newspaper to be in an online archive.,no i would like to see articles,What was the name of Elvis Presley's home?,are you looking to see how long elvis presley lived in his home,"No, I just want to know the name of his home.",no,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",do you want to know about the first inhabitants of orcas island,Yes,no i want to know about the history of the island,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you looking for defender lyrics,"No, I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",yes
I'm looking for companies that appraise jewelry.,would you like to find appraisers near you,"No, I want to know about the process of appraising jewelry.",yes i am interested in companies that appraisals jewelry,The blue-throated hummingbird is native to what areas?,would you like to learn about how fast blue throated hummingbirds are,"No, I want to know what areas the blue-throated hummingbird is native to.",yes i would like to kyesw what areas are called in the wild,What are the migration patterns of the blue-throated hummingbird?,do you want to learn more about how blue throated hummingbirds mate,"No, I want to know about their migration patterns.",no i am looking for general information about the migratory patterns of the bluethroated hummingbird,"Are Animal Cuts safe to use, and are they effective?",did you want to know if anyone near you has tried it,"No, I want to know if Animal Cuts are safe to use and effective.",no i want information on animal cuts,How do you treat severe angular cheilitis?,are you looking for webmd websites or mayo clinic websites about angular cheilits,I want to know how to treat severe angular cheilitis.,no i am looking for information on treatment
Find examples of employee performance appraisals.,are you looking for appraisal companies near you,"No, I want to know what an employee performance appraisal is.",yes i want examples of employee performance appraisals,Find the seating chart of Churchill Downs.,which part of churchill downs are you interested in knowing more about,I want to know the seating chart.,yes i want the seating chart of the churchill downs,Find information on Breeders Cup races.,are you wondering where churchill downs is,"No, I want to know when the next Breeders Cup race is.",no i want information on the races,Find information on the artwork used on rock music album covers.,would you like to know anything specific about rock music,"Yes, I want to know about the artwork used on rock music album covers.",yes i would like information on the images used on rock music album covers,What famous generals fought in the US civil war?,are you looking for a union victory,"No, I want to know what famous generals fought in the US civil war.",yes
Find directions to the Ritz Carlton Lake Las Vegas.,would you like the location of the ritz carlton lake las vegas,"Yes, I would like the location and directions to the Ritz Carlton Lake Las Vegas.",no i would like directions to the ritz carlton lake las vegas,What are the different brands of pressure washers?,are you wondering what a pressure washer is,"No, I want to know the different brands of pressure washers.",no,What are the educational benefits of social networking sites?,which social networking sites would you like information on,All of them.,no i want to know the benefits,"Historical facts about Cass County, Missouri.",do you have travel plans,"No, I just want to know historical facts about Cass County, Missouri.",yes i am interested in historical facts about the county,"Find information on various types of computer memory, and how they are different.",are you interested in the type of memories,"Yes, I want to know about the different types of computer memory, and how they are different.",yes i am interested in information about computer memory types
Find information about solar panels that I can install on my home.,would you like the historical information on solar panels,"No, I would like information on solar panels that I can install on my home.",no,Find pictures of horse hooves.,what problem is your horse having with their hooves,I just want to see pictures of horse hooves.,no,Find a site where I can determine room price and availability.,are you looking for any specific games to play there,"No, I just want to know the room prices and availability.",yes i am looking for a site where i can determine room price and availability,"Find demographic information about Cass County, MO.",is there any specific information that you are looking for,"I want to know the population, the average income, and the average age.",yes,Find pictures of horse hooves.,are you looking for information about horseshoe,"No, I want to see pictures of horse hooves.",yes
Find political maps of the United States showing the states and their capitals.,which language of us map would you prefer,English,i dont know,Find reviews of the Ritz Carlton Lake Las Vegas.,are you looking for any specific games to play there,I'm not looking for any specific games to play there. I just want to know what the reviews of the Ritz Carlton Lake Las Vegas are.,yes i want reviews of the ritz caslax lake las vegas,Find complete (not partial) recipes for beef stroganoff.,what is your favorite cut of beef to be used for the recipe,"I don't have a favorite cut of beef, I just want a complete recipe for beef stroganoff.",i dont know,"Find flight information for the Ontario, CA airport.",would you like to book a flight at ontario california airport,"No, I just want to find information on it.",no i need the flight information,Can I grow a kiwi fruit tree?,are you interested in images of the kiwi fruit,"No, I want to know if I can grow a kiwi fruit tree.",yes
Can I grow a kiwi fruit tree?,are you looking for kiwi birds for sale,"No, I want to know if I can grow a kiwi fruit tree.",no,What kinds of solar panels and photovoltaic cells are there?,do you want to know where solar panels are typically installed in a home,"No, I want to know about the different types of solar panels and photovoltaic cells.",yes,How is workplace diversity achieved and managed?,are you looking into diversity in hiring,yes,no i am looking for the outcome of the company in general,"What hotels are near the Ontario, CA airport?",would you like to book a hotel there,"No, I just want to know what hotels are near it.",no i would like to find a listing of hotels near the airport,"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know if there is tour information on the us capitol map,"No, I just want a map of the area around the Capitol, including nearby sites to visit.",yes i would like a map of the area
information on the state income tax in Illinois,do you want to get helping completing your illinois state tax return,"No, I want information on the state income tax in Illinois.",no i want to know about the income tax in the state of indiana,information about Indian tribes that used adobe houses,do you need any specific information about people who resided in adobe houses,"Yes, I would like to know about Indian tribes that used adobe houses.",yes i want information about tribes that used adobe homes,Where can I buy radio-controlled planes?,do you want stores with physical locations or online stores,I want to know where I can buy radio-controlled planes.,no i need to find a radiocontrolled plane,Where are Brooks Brothers outlet stores located?,are you looking for a brooks brothers outlet,"Yes, I'm looking for a Brooks Brothers outlet store.",no i am looking for stores located near me,Find calorie counts and other nutritional information about Starbucks products.,are you looking for current news related to starbucks,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",no i want information on the nutritional information for the company itself
"What services/facilities does the Ontario, CA airport offer?",is there anywhere in california youd like to go visit,"No, I just want to know what services/facilities the Ontario, CA airport offers.",yes i want to kyesw about the services the oregon california airport offers,Find information on the Greek mathematician Euclid.,do you want a biography,"No, I want his accomplishments",no,information about Indian tribes that used adobe houses,do you want to know what adobe indian houses are made out of,"No, I want to know about the tribes that used them.",yes i am interested in the tribes that used an adobe indian house,What are the boundaries of the political jurisdictions in Brazil?,do you want a map of the roads in brazil,"No, I want to know the boundaries of the political jurisdictions in Brazil.",yes,"What is ""Poem in Your Pocket Day""?",do you need information related to celebrating the poem in your pocket day,"Yes, I would like to know more about how to celebrate Poem in Your Pocket Day.",yes i want to kyesw what it is
quotes about independence,would you like to learn more about the declaration of independence,"no, I want to know quotes about independence",yes i want to learn about the definition of a man,Sites that sell Universal Animal Cuts that include product reviews.,would you like to review universal animal cuts,"No, I'm looking for a site that sells Universal Animal Cuts that include product reviews.",yes i would like to see reviews of animal cuts,"What was the 2008 budget for Cass County, MO?",would you like to know more about the city,"No, I want to know the budget for 2008.",no,Find detailed geographic maps of the United States.,do you want to see a political map of the united states,Yes,no i am looking for a map of the united states,"What is the address of the Ontario, CA airport?",would you like to book a flight at ontario california airport,"No, I just want to know the address.",no i want to know the address of the oregon california airport
"I would like to find reviews of The Pampered Chef programs, products, and recipes.",are you wondering about pampered chef competitors,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",yes i am looking for reviews of the pampered cook programs and recipes,I am looking for information about taking a vacation trip to Brazil.,do you need to know where to find a map of brazil,"No, I do not need a map of Brazil. I am looking for information about taking a vacation trip to Brazil.",no i am looking for information about taking a vacation to the city of brazil,"Find flight information for the Ontario, CA airport.",what ammendities are you looking for in your airport,I just need to know what flights are available and their times.,i dont know,Find poems written for Poem In Your Pocket Day.,do you need to know the date for 2019,"No, I just want to know what it is.",no i am interested in poetry written for pen in your pocket,Find US road maps.,are you looking for children coloring books,"No, I'm not looking for children coloring books. I want a map of the USA for a road trip.",yes i am looking for a map of us road maps
How do you treat severe angular cheilitis?,are you looking for a common name for angular cheilitis,"No, I want to know how to treat severe angular cheilitis.",no,Are there biodegradable products for the disposal of dog waste?,are you interested in buying some,I just want to know if there are biodegradable products for the disposal of dog waste.,yes,What are the symptoms of von Willebrand Disease?,do you want to know about the cause of von willebrand disease,"No, I want to know about the symptoms.",yes,Find archives of articles from the Milwaukee Journal Sentinel.,are you interested in a subscription to the milwaukee journal sentinel,"No, I just want to find archives of articles.",yes,What are the best ways of disposing of dog waste?,are you referring to a specif type of dog clean up bag,"No, I just want to know where I should order dog clean-up bags in general.",no i am referring to a bag of dog waste
The blue-throated hummingbird is native to what areas?,do you want to find them in mexico or in the us,I want to know what areas the blue-throated hummingbird is native to.,no i want to find them in me,What causes angular cheilitis?,do you want to know how to avoid angular cheilitis,"No, I want to know what causes angular cheilitis.",yes,I am looking for information about taking a vacation trip to Brazil.,do you want to know an app that has maps of brazil,"No, I want to know where to go if I made a crime in Brazil.",no i am looking for information about taking a trip to Brazil,"I'm looking for information on planning a wedding shower, like theme ideas and budget guidelines.",did you want to see examples of budget weddings,"No, I want a budget calculator for my wedding shower.",no i want information on how to plan a wedding in my area,I want to go to the homepage for Defender Marine Supplies.,are you looking for defender lyrics,"No, I want to go to the homepage for Defender Marine Supplies.",yes i am looking for the homepage for the company
information about the drafting of the Declaration of Independence,would you like to know more about the author,"No, I want to know about the drafting of the Declaration of Independence.",no,Find information for visitors and immigrants about living in India.,do you want to know foreigners feelings about living in india,Yes.,no i am looking for information on living in india,"I am looking for newcomer information for Cass County, Missouri.",there are some interesting historical facts about cass county shall i show them to you,yes,no i am looking for information about the county and its history,"Find information about the television series, ""Star Trek: Voyager""",do you want to know more about the nasa voyager program,"No, I want to know about the television series ""Star Trek: Voyager""",no,Find information on shoeing horses and horseshoe problems.,are you asking about a horses feet,Yes.,yes
Find pictures of horse hooves.,are you asking about a horses feet,Yes,yes,Find information about solar panels that I can install on my home.,do you want to know where solar panels are typically installed in a home,"No, I want to know about the solar panels themselves. What they are made of and how they work.",yes,Find information on the Land Rover Defender sport-utility vehicle.,are you looking for advice on how to play soccer,"No, I'm looking for information on the Land Rover Defender sport-utility vehicle.",no i want to know about the sportsutility vehicle,"What hotels are near the Ontario, CA airport?",would you like to know more about ontarioca airport services,"No, I would like to know what hotels are near the airport.",yes i want to kyesw the nearest hotels and the nearest hotels,Find detailed geographic maps of the United States.,are you interested in a historical map of the united states,"No, I need a current map.",no
information about the sales tax in Illinois: what is the rate and what is it levied on,do you want to read articles about the tax rate or know the tax rate percentage,I want to know the tax rate percentage and what it is levied on.,no,Find information about horses' hooves and how to care for them.,do you want to know what horse hooves are made from,Yes,no i want information on hooves,I'm looking for locations of Starbucks stores worldwide.,are you looking for a recipe,"No, I'm looking for locations of Starbucks stores worldwide.",yes i want to find locations in stores,Find information about buying real estate in India.,are you interested in the best place to live in india,"Yes, I am interested in finding information about buying real estate in India.",no i want to find information about buying real estate in india,Where can I buy rock and roll posters?,are you referring to a music genre,"No, I want to buy rock and roll posters.",yes i am referring to a rock and roll company
Find US road maps.,which language of us map would you prefer,I prefer the English language.,no i am looking for a map of us roads,Find information on Breeders Cup races.,which part of churchill downs are you interested in knowing more about,I want to see the Breeders Cup races.,i dont know,Describe the anatomy of horses' feet and hooves.,are you looking for a diagram of a horse hoof,"Yes, I would like a diagram of a horse hoof.",no i am looking for a specific anatomy of an animal,What are the boundaries of the political jurisdictions in Brazil?,do you need to know where to find a map of brazil,"No, I need to know the boundaries of the political jurisdictions in Brazil.",no i want to know the political jurisdictions,What computer programming languages are there?,are you looking to see how much computer programming lessons cost,"No, I want to know what computer programming languages are there.",yes
