facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,question_3,answer_1_3,answer_2_3,shuffled_3,facet_desc_4,query_4,question_4,answer_1_4,answer_2_4,correct_4,query_1,correct_1,shuffled_4,query_3,correct_3,query_0,correct_0,query_2,correct_2
Who is the patron saint of mental illness?,who you like to know who the patron saint of mental illness is,"Yes, I would like to know who the patron saint of mental illness is.",No I want to know who the patron saint of mental illness is,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,"Are Animal Cuts safe to use, and are they effective?",would you like to review universal animal cuts,No I want to know what animals can be used for animal cuts,"No, I want to know if they're safe to use and if they're effective.",True,The blue-throated hummingbird is native to what areas?,would you like to know where it originates from,Yes,Yes I want to kyesw what areas it originated from,False,Find printable maps of the United States.,,would you like to know more about us roads,"No, I just want a printable map of the United States.",Yes,,Tell me about kiwi,answer_2,False,,,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,Where can I buy rock and roll posters?,do you want the history of rock art,No I want to know where I can buy rock and roll posters,"No, I want to know where I can buy rock and roll posters.",True,How do I host a Pampered Chef cooking show?,are you wondering about pampered chef competitors,"No, I want to know how to host a Pampered Chef cooking show.",Yes,False,Where are Brooks Brothers outlet stores located?,would you like to know about the brooks brothers clearance return policy,Yes,"No, I want to know the locations of Brooks Brothers outlet stores.",True,Find information about how people live in India.,,what part of india are you interested in,I dont know,I'm interested in how people live in India.,,,,True,,,Tell me about kiwi,answer_2,,
"What was the 2008 budget for Cass County, MO?",are you looking for places to eat in cass county missouri,"No, I want to know the 2008 budget for Cass County, MO.",Yes I am looking for a specific county,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,"I'm looking for information on bars and nightclubs in Hoboken, NJ.",are you looking for an apartment in hoboken,No I am looking for information on bar and club locations,"No, I'm looking for information on bars and nightclubs in Hoboken, NJ.",True,I'm looking for web sites that do antique appraisals.,what type of appraisals do you need informatiom about,I'm looking for web sites that do antique appraisals.,No I want to see websites that do antique appraisals,False,I'm looking for a source for Euclid truck parts.,,are you looking for a company,Yes,"Yes, I'm looking for a source for Euclid truck parts.",,Tell me about kiwi,answer_2,True,,,,,,
How do you treat severe angular cheilitis?,are you looking for the definition of angular cheilitis,"No, I'm looking for how to treat severe angular cheilitis.",Yes I am looking for treatment,False,What are the symptoms of von Willebrand Disease?,what kind of information about von willebrand disease do you want to see,I want to know the symptoms of von Willebrand Disease.,Yes,False,Sites that sell Universal Animal Cuts that include product reviews.,did you want to know if it was effective for different levels of weight,"Yes, I want to know if it is effective for people who are overweight.",Yes I would like to see reviews about it,False,Find the homepage for the NASA Voyager mission.,are you looking for a specific web page,Yes I want to go to the homepage of the mission,"Yes, I am looking for the homepage for the NASA Voyager mission.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
home page of the Rocky Mountain News,are you interested in news archives,"No, I just want the home page of the Rocky Mountain News.",No,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,How is workplace diversity achieved and managed?,are you looking for a specific content related to diversity,Yes I want to kyesw how the workplace is managed,"Yes, I want to know how workplace diversity is achieved and managed.",True,Find a black-and-white outline map of the United States such that a child could color.,are you looking for children coloring books,No I am looking for a map,"Yes, I want a black-and-white outline map of the United States such that a child could color.",True,"Are Animal Cuts safe to use, and are they effective?",,did you want to know if it was effective for different levels of weight,I want to know if Animal Cuts are safe to use and if they are effective.,Yes I want to kyesw the animal cuts,,Tell me about kiwi,answer_2,False,,,,,,
How often may atypical squamous cells predict cervical cancer?,would you like to know about treatment for atypical squamous cells,"No, I want to know how often may atypical squamous cells predict cervical cancer.",Yes,False,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",are you looking for information from a specific era in the history of orcas island,Yes,any era is fine,True,What is the common name for angular cheilitis?,are asking what the symptoms are for angular cheilits,"No, I am asking what the common name for angular cheilitis is.",Yes,False,What hobby stores carry trains?,are you looking for hobby stores located in maryland,Yes I am looking for stores that carry trains,"No, I want to know what hobby stores carry trains.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
"I'm looking for the history of Hoboken, NJ.",do you want information on the climate of hoboken,"No, I want the history of Hoboken.",Yes I am looking for the history of the city,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Where can I buy rock and roll posters?,are you going to purchase any specific tools,"No, I just want to know where I can buy rock and roll posters.",No I need to buy rock and roll posters,False,Find information about the NASA Voyager spacecraft and missions.,do you want to know where voyager is now,"Yes, I would like to know where the Voyager spacecraft is now.",No I want to know about the spacecraft and mission,False,Is Brooks Brothers catalog merchandise available at their outlet stores?,,are you trying to find brooks brothers clearance suits,"No, I want to know if Brooks Brothers catalog merchandise is available at their outlet stores.",Yes,,Tell me about kiwi,answer_2,False,,,,,,
"Find demographic information about Cass County, MO.",do you want to know about the schools in cass county missouri,No I want to know about the demographics of the county missouri,"No, I want to know the demographic information about Cass County, MO.",True,quotes about independence,which use of that quote are you interested in,the one about independence,No I want to know about the opinions of men,False,What do atypical squamous cells mean on a pap smear test?,do you want to see a picture of atypical squamous cells,"No, I want to know what they mean on a pap smear test.",Yes,False,"Find the homepage for the city of Hoboken, NJ.",are you looking for information about the hoboken medical center,"No, I'm looking for the homepage for the city of Hoboken, NJ.",No I want the homepage for the city of Hob,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find information on shoeing horses and horseshoe problems.,do you need horse hoof care tips,"Yes, I would like to know more about shoeing horses and horseshoe problems.",No,False,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you referring to a software,"No, I'm talking about the Williams arcade game from the 1980s.",Yes,False,What problems have afflicted the Ford Edge car model?,what city and state are you looking for a ford edge repair shop in,I dont kyesw,I just want to know what problems have afflicted the Ford Edge car model.,True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Provide pressure washer reviews and/or ratings.,,are you trying to build a pressure washer,Yes I am looking for reviews and ratings,"No, I'm trying to buy one. I need reviews and ratings for pressure washers.",,,,True,Tell me about kiwi,answer_1,,,,
"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know what cities are on the us capitol map,"No, I want a map of the area around the US Capitol, including nearby sites to visit.",No I am looking for a map of the us capitol,False,Find calorie counts and other nutritional information about Starbucks products.,are you looking for a recipe,Yes I am looking for the calorie count and other nutritional information for the company,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",True,Where can I buy radio-controlled planes?,are you looking for a radiocontrolled plane,No I want information on where I can buy one,"Yes, I want to know where I can buy radio-controlled planes.",True,Find information about horses' hooves and how to care for them.,are you asking about a horses feet,No,"Yes, I want to know how to take care of a horse's hooves.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find information about solar panels that I can install on my home.,do you want annual savings totals if you install solar panels,Yes,Yes,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Where can I go on a hay ride in Pennsylvania?,do you have a designated date and time you would want the hayride in pennsylvania,Yes I am looking for a specific date and time,"No, I just want to know generally where I can go on a hay ride in Pennsylvania.",True,Find information about human memory.,how to cheat at the game memory,"No, I want to know about human memory.",Yes I am looking for information on human memory,False,Who said all men are created equal?,,which use of that quote are you interested in,I dont know,I want to know who said all men are created equal.,,Tell me about kiwi,answer_2,True,,,,,,
What was the name of Elvis Presley's home?,are you referring to elvis presleys hometown,Yes,"No, I'm asking about the name of his home.",True,What is cultural diversity? What is prejudice?,are you looking for information on a specific diversity program,Yes,"no, I would like to know what cultural diversity is and what prejudice is.",True,What are the different brands of pressure washers?,are you trying to build a pressure washer,No I want to know what brands of pressure washers are available,"No, I want to know what the different brands of pressure washers are.",True,Find a picture of a blue-throated hummingbird.,do you want to know what they look like,I want to see a picture of one.,No I want to see a picture of a blue bird,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
What is the website for HobbyTown USA?,why type of hobby arts and crafts or sports,No,I'm looking for a hobby store that sells model trains.,True,Find information for visitors and immigrants about living in India.,are you intested in statistics on expats residing in india,"No, I'm not interested in statistics.",Yes I want information on living in india,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,Find information about buying real estate in India.,do you want to know what the best thing about living in india is,No I am looking for information about buying real estate in india,"No, I want to know about buying real estate in India.",True,How often may atypical squamous cells predict cervical cancer?,,do you want to learn about atypical squamous cells in a pap smear,No,"No, I want to know how often may atypical squamous cells predict cervical cancer?",,,,True,,,,,Tell me about kiwi,answer_2
Find information on Breeders Cup races.,are you interested in the racing schedule,Yes im interested in the race schedule,"Yes, I want to find information on the Breeders Cup races.",True,Who is the patron saint of mental illness?,are you interested in learning the back story of the patron saint of mental illness,"No, I just want to know who the patron saint of mental illness is.",Yes I am interested in his personal biography,False,I want to find some example wedding budgets.,did you want to see if there was an app to do it,Yes I am looking for a wedding budget calculator,"No, I want to find some example wedding budgets.",True,Where can I learn about rock painting or buy a rock-painting kit?,do you want examples of rock art,"No, I want to learn how to make it.",Yes I want to learn about rock painting,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find examples of employee performance appraisals.,are you looking for a type of appraiser,"No, I want to know about employee performance appraisals.",Yes I am looking for examples of employee performance appraisals,False,I want to go to the homepage for Defender Marine Supplies.,is your child playing soccer,Yes,"No, I want to go to the homepage for Defender Marine Supplies.",True,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,information about Indian tribes that used adobe houses,do you wish to know the location of native american houses,Yes I want to kyesw about tribes that used an adobe house,"No, I want to know about Indian tribes that used adobe houses.",True,The blue-throated hummingbird is native to what areas?,,do you want to know what they look like,"No, I want to know what areas the blue-throated hummingbird is native to.",No I want to know where they are in the wild,,,,False,,,,,Tell me about kiwi,answer_2
Are there biodegradable products for the disposal of dog waste?,would you like to know a location to find dog clean bags,"No, I would like to know if there are biodegradable products for the disposal of dog waste.",No I would like to know what products are available for the disposal of dog waste,False,How do I become a Pampered Chef consultant?,are you trying to buy pampered chef,"No, I want to become a Pampered Chef consultant.",Yes I am looking for a professional pampered cook who has,False,What do atypical squamous cells mean on a pap smear test?,do you want to learn about cervical cancer,Yes,"No, I want to know about atypical squamous cells on a pap smear test.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,I'd like to order books or videos/CDs about how to construct adobe buildings.,,what type of adobe indian house are you looking for,I'd like to order books or videos/CDs about how to construct adobe buildings.,I dont kyesw,,,,False,Tell me about kiwi,answer_1,,,,
What type of careers are there for computer programmers?,are you interested in the history of computer programming,Yes I want to know the types of careers for computer programmers,"No, I want to know what type of careers are there for computer programmers.",True,"Find information about the television series, Star Trek: Voyager",do you want to know which planets voyager has visited,"No, I want to know about the show Star Trek: Voyager",Yes,False,Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,are you interested in the canadian holiday,Yes I want to know how to celebrate it,"No, I'm interested in the American one.",True,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you interested in the isfj personality type,"No, I want to know about the arcade game by Williams.",Yes,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
What are the best ways of disposing of dog waste?,are you looking for a way to dispose your dog wast,"Yes, I want to know the best ways of disposing of dog waste.",Yes I am looking for ways to dispose of dog waste,False,"Find flight information for the Ontario, CA airport.",would you like to know more about ontarioca airport services,"No, I would like to find flight information for the Ontario, CA airport.",Yes I would like to kyesw about their airport services,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,How has the phrase all men are created equal been interpreted over time by the US surpreme Court?,would you like to know the gettysburg address,Yes,"No, I want to know how the phrase all men are created equal has been interpreted over time by the US Supreme Court.",True,What were the major battles in the US civil war?,,do you want to know how many people were killed,"No, I want to know about the major battles.",Yes I want to know the major battles,,,,False,,,,,Tell me about kiwi,answer_2
What do atypical squamous cells mean on a pap smear test?,would you like to know about treatment for atypical squamous cells,"No, I want to know what they mean on a pap smear test.",No,False,Find information on the Land Rover Defender sport-utility vehicle.,are you interested in the isfj personality type,"No, I'm not interested in the isfj personality type. I want to know about the Land Rover Defender sport-utility vehicle.",Yes,False,"What services/facilities does the Ontario, CA airport offer?",do you need a map of the area would you like the website address,Yes I need a map of the area,"No, I don't need a map. Just tell me what services/facilities the airport offers.",True,information on the state income tax in Illinois,do you want to know where your refund is or know the tax rate,I want to know the tax rate.,No I want to know about the tax rate in the state,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
What are the migration patterns of the blue-throated hummingbird?,would you like to know about the current population numbers of blue throated hummingbirds,"No, I want to know about the migration patterns.",No I would like to know the migration patterns of the bluethroated hummingbird,False,Find testimonials of Universal Animal Cuts nutritional supplement.,did universal animal cuts work for you,I haven't tried it yet.,Yes I would like to read about the benefits of animal feeds,False,How can I plan an inexpensive wedding?,what are your budget priorities for your wedding,I want an inexpensive wedding.,I dont know,False,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Find a map of the inside of the US Capitol.,,do you want to know how to access a us capitol map,No,"No, I want you to find me a map of the inside of the US Capitol.",,,,True,Tell me about kiwi,answer_1,,,,
What computer programming languages are there?,are you interested in a coding bootcamp,"No, I just want to know what computer programming languages are there.",No,False,Find archives of articles from the Milwaukee Journal Sentinel.,which medium do you prefer the newspaper to be in,I would like the newspaper to be in an online archive.,No I would like to see articles,False,What was the name of Elvis Presley's home?,are you looking to see how long elvis presley lived in his home,"No, I just want to know the name of his home.",No,False,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",do you want to know about the first inhabitants of orcas island,No I want to know about the history of the island,Yes,True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you looking for defender lyrics,"No, I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",Yes,False,I'm looking for companies that appraise jewelry.,would you like to find appraisers near you,Yes I am interested in companies that appraisals jewelry,"No, I want to know about the process of appraising jewelry.",True,The blue-throated hummingbird is native to what areas?,would you like to learn about how fast blue throated hummingbirds are,"No, I want to know what areas the blue-throated hummingbird is native to.",Yes I would like to kyesw what areas are called in the wild,False,What are the migration patterns of the blue-throated hummingbird?,do you want to learn more about how blue throated hummingbirds mate,"No, I want to know about their migration patterns.",No I am looking for general information about the migratory patterns of the bluethroated hummingbird,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
"Are Animal Cuts safe to use, and are they effective?",did you want to know if anyone near you has tried it,"No, I want to know if Animal Cuts are safe to use and effective.",No I want information on animal cuts,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,How do you treat severe angular cheilitis?,are you looking for webmd websites or mayo clinic websites about angular cheilits,I want to know how to treat severe angular cheilitis.,No I am looking for information on treatment,False,Find examples of employee performance appraisals.,are you looking for appraisal companies near you,"No, I want to know what an employee performance appraisal is.",Yes I want examples of employee performance appraisals,False,Find the seating chart of Churchill Downs.,,which part of churchill downs are you interested in knowing more about,Yes I want the seating chart of the churchill downs,I want to know the seating chart.,,Tell me about kiwi,answer_2,True,,,,,,
Find information on Breeders Cup races.,are you wondering where churchill downs is,"No, I want to know when the next Breeders Cup race is.",No I want information on the races,False,Find information on the artwork used on rock music album covers.,would you like to know anything specific about rock music,"Yes, I want to know about the artwork used on rock music album covers.",Yes I would like information on the images used on rock music album covers,False,What famous generals fought in the US civil war?,are you looking for a union victory,Yes,"No, I want to know what famous generals fought in the US civil war.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Find directions to the Ritz Carlton Lake Las Vegas.,,would you like the location of the ritz carlton lake las vegas,"Yes, I would like the location and directions to the Ritz Carlton Lake Las Vegas.",No I would like directions to the ritz carlton lake las vegas,,,,False,Tell me about kiwi,answer_1,,,,
What are the different brands of pressure washers?,are you wondering what a pressure washer is,No,"No, I want to know the different brands of pressure washers.",True,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,What are the educational benefits of social networking sites?,which social networking sites would you like information on,No I want to know the benefits,All of them.,True,"Historical facts about Cass County, Missouri.",do you have travel plans,Yes I am interested in historical facts about the county,"No, I just want to know historical facts about Cass County, Missouri.",True,"Find information on various types of computer memory, and how they are different.",,are you interested in the type of memories,"Yes, I want to know about the different types of computer memory, and how they are different.",Yes I am interested in information about computer memory types,,Tell me about kiwi,answer_2,False,,,,,,
Find information about solar panels that I can install on my home.,would you like the historical information on solar panels,No,"No, I would like information on solar panels that I can install on my home.",True,Find pictures of horse hooves.,what problem is your horse having with their hooves,No,I just want to see pictures of horse hooves.,True,Find a site where I can determine room price and availability.,are you looking for any specific games to play there,Yes I am looking for a site where I can determine room price and availability,"No, I just want to know the room prices and availability.",True,"Find demographic information about Cass County, MO.",is there any specific information that you are looking for,Yes,"I want to know the population, the average income, and the average age.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Find pictures of horse hooves.,are you looking for information about horseshoe,Yes,"No, I want to see pictures of horse hooves.",True,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Find political maps of the United States showing the states and their capitals.,which language of us map would you prefer,English,I dont know,False,Find reviews of the Ritz Carlton Lake Las Vegas.,are you looking for any specific games to play there,Yes I want reviews of the ritz caslax lake las vegas,I'm not looking for any specific games to play there. I just want to know what the reviews of the Ritz Carlton Lake Las Vegas are.,True,Find complete (not partial) recipes for beef stroganoff.,,what is your favorite cut of beef to be used for the recipe,"I don't have a favorite cut of beef, I just want a complete recipe for beef stroganoff.",I dont know,,Tell me about kiwi,answer_2,False,,,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,"Find flight information for the Ontario, CA airport.",would you like to book a flight at ontario california airport,"No, I just want to find information on it.",No I need the flight information,False,Can I grow a kiwi fruit tree?,are you interested in images of the kiwi fruit,"No, I want to know if I can grow a kiwi fruit tree.",Yes,False,Can I grow a kiwi fruit tree?,are you looking for kiwi birds for sale,"No, I want to know if I can grow a kiwi fruit tree.",No,False,What kinds of solar panels and photovoltaic cells are there?,,do you want to know where solar panels are typically installed in a home,"No, I want to know about the different types of solar panels and photovoltaic cells.",Yes,,,,False,,,Tell me about kiwi,answer_2,,
