facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,query_3,question_3,answer_1_3,answer_2_3,correct_3,facet_desc_4,question_4,answer_1_4,answer_2_4,shuffled_4,shuffled_3,query_4,correct_4,query_2,correct_2,query_0,correct_0,query_1,correct_1
What was the name of Elvis Presley's home?,are you referring to elvis presleys hometown,Yes,"No, I'm asking about the name of his home.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,What is cultural diversity? What is prejudice?,are you looking for information on a specific diversity program,"no, I would like to know what cultural diversity is and what prejudice is.",Yes,False,What are the different brands of pressure washers?,,are you trying to build a pressure washer,No I want to know what brands of pressure washers are available,"No, I want to know what the different brands of pressure washers are.",,Find a picture of a blue-throated hummingbird.,do you want to know what they look like,I want to see a picture of one.,No I want to see a picture of a blue bird,False,True,,,,,,,Tell me about kiwi,answer_2
What is the website for HobbyTown USA?,why type of hobby arts and crafts or sports,No,I'm looking for a hobby store that sells model trains.,True,Find information for visitors and immigrants about living in India.,are you intested in statistics on expats residing in india,"No, I'm not interested in statistics.",Yes I want information on living in india,False,Find information about buying real estate in India.,do you want to know what the best thing about living in india is,"No, I want to know about buying real estate in India.",No I am looking for information about buying real estate in india,False,How often may atypical squamous cells predict cervical cancer?,,do you want to learn about atypical squamous cells in a pap smear,"No, I want to know how often may atypical squamous cells predict cervical cancer?",No,,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,yes,"no, I am not",,False,Tell me about kiwi,answer_2,,,,,,
Find information on Breeders Cup races.,are you interested in the racing schedule,Yes im interested in the race schedule,"Yes, I want to find information on the Breeders Cup races.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,Who is the patron saint of mental illness?,are you interested in learning the back story of the patron saint of mental illness,"No, I just want to know who the patron saint of mental illness is.",Yes I am interested in his personal biography,False,I want to find some example wedding budgets.,,did you want to see if there was an app to do it,Yes I am looking for a wedding budget calculator,"No, I want to find some example wedding budgets.",,Where can I learn about rock painting or buy a rock-painting kit?,do you want examples of rock art,"No, I want to learn how to make it.",Yes I want to learn about rock painting,False,True,,,,,,,Tell me about kiwi,answer_2
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,Find examples of employee performance appraisals.,are you looking for a type of appraiser,"No, I want to know about employee performance appraisals.",Yes I am looking for examples of employee performance appraisals,False,I want to go to the homepage for Defender Marine Supplies.,is your child playing soccer,Yes,"No, I want to go to the homepage for Defender Marine Supplies.",True,information about Indian tribes that used adobe houses,,do you wish to know the location of native american houses,Yes I want to kyesw about tribes that used an adobe house,"No, I want to know about Indian tribes that used adobe houses.",,The blue-throated hummingbird is native to what areas?,do you want to know what they look like,"No, I want to know what areas the blue-throated hummingbird is native to.",No I want to know where they are in the wild,False,True,,,,,Tell me about kiwi,answer_2,,
Are there biodegradable products for the disposal of dog waste?,would you like to know a location to find dog clean bags,No I would like to know what products are available for the disposal of dog waste,"No, I would like to know if there are biodegradable products for the disposal of dog waste.",True,How do I become a Pampered Chef consultant?,are you trying to buy pampered chef,Yes I am looking for a professional pampered cook who has,"No, I want to become a Pampered Chef consultant.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,What do atypical squamous cells mean on a pap smear test?,,do you want to learn about cervical cancer,"No, I want to know about atypical squamous cells on a pap smear test.",Yes,,I'd like to order books or videos/CDs about how to construct adobe buildings.,what type of adobe indian house are you looking for,I dont kyesw,I'd like to order books or videos/CDs about how to construct adobe buildings.,True,False,,,Tell me about kiwi,answer_2,,,,
What type of careers are there for computer programmers?,are you interested in the history of computer programming,Yes I want to know the types of careers for computer programmers,"No, I want to know what type of careers are there for computer programmers.",True,"Find information about the television series, Star Trek: Voyager",do you want to know which planets voyager has visited,Yes,"No, I want to know about the show Star Trek: Voyager",True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,Find ideas for how to celebrate Poem in Your Pocket Day and National Poetry Month.,,are you interested in the canadian holiday,Yes I want to know how to celebrate it,"No, I'm interested in the American one.",,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you interested in the isfj personality type,Yes,"No, I want to know about the arcade game by Williams.",True,True,,,Tell me about kiwi,answer_2,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,What are the best ways of disposing of dog waste?,are you looking for a way to dispose your dog wast,"Yes, I want to know the best ways of disposing of dog waste.",Yes I am looking for ways to dispose of dog waste,False,"Find flight information for the Ontario, CA airport.",would you like to know more about ontarioca airport services,Yes I would like to kyesw about their airport services,"No, I would like to find flight information for the Ontario, CA airport.",True,How has the phrase all men are created equal been interpreted over time by the US surpreme Court?,,would you like to know the gettysburg address,Yes,"No, I want to know how the phrase all men are created equal has been interpreted over time by the US Supreme Court.",,What were the major battles in the US civil war?,do you want to know how many people were killed,"No, I want to know about the major battles.",Yes I want to know the major battles,False,True,,,,,Tell me about kiwi,answer_2,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,What do atypical squamous cells mean on a pap smear test?,would you like to know about treatment for atypical squamous cells,"No, I want to know what they mean on a pap smear test.",No,False,Find information on the Land Rover Defender sport-utility vehicle.,are you interested in the isfj personality type,"No, I'm not interested in the isfj personality type. I want to know about the Land Rover Defender sport-utility vehicle.",Yes,False,"What services/facilities does the Ontario, CA airport offer?",,do you need a map of the area would you like the website address,Yes I need a map of the area,"No, I don't need a map. Just tell me what services/facilities the airport offers.",,information on the state income tax in Illinois,do you want to know where your refund is or know the tax rate,No I want to know about the tax rate in the state,I want to know the tax rate.,True,True,,,,,Tell me about kiwi,answer_2,,
What are the migration patterns of the blue-throated hummingbird?,would you like to know about the current population numbers of blue throated hummingbirds,No I would like to know the migration patterns of the bluethroated hummingbird,"No, I want to know about the migration patterns.",True,Find testimonials of Universal Animal Cuts nutritional supplement.,did universal animal cuts work for you,Yes I would like to read about the benefits of animal feeds,I haven't tried it yet.,True,How can I plan an inexpensive wedding?,what are your budget priorities for your wedding,I dont know,I want an inexpensive wedding.,True,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,Find a map of the inside of the US Capitol.,do you want to know how to access a us capitol map,"No, I want you to find me a map of the inside of the US Capitol.",No,False,,,,,,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,What computer programming languages are there?,are you interested in a coding bootcamp,No,"No, I just want to know what computer programming languages are there.",True,Find archives of articles from the Milwaukee Journal Sentinel.,which medium do you prefer the newspaper to be in,No I would like to see articles,I would like the newspaper to be in an online archive.,True,What was the name of Elvis Presley's home?,,are you looking to see how long elvis presley lived in his home,No,"No, I just want to know the name of his home.",,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",do you want to know about the first inhabitants of orcas island,Yes,No I want to know about the history of the island,False,True,,,,,Tell me about kiwi,answer_2,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you looking for defender lyrics,"No, I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",Yes,False,I'm looking for companies that appraise jewelry.,would you like to find appraisers near you,Yes I am interested in companies that appraisals jewelry,"No, I want to know about the process of appraising jewelry.",True,The blue-throated hummingbird is native to what areas?,,would you like to learn about how fast blue throated hummingbirds are,"No, I want to know what areas the blue-throated hummingbird is native to.",Yes I would like to kyesw what areas are called in the wild,,What are the migration patterns of the blue-throated hummingbird?,do you want to learn more about how blue throated hummingbirds mate,No I am looking for general information about the migratory patterns of the bluethroated hummingbird,"No, I want to know about their migration patterns.",True,False,,,,,Tell me about kiwi,answer_2,,
"Are Animal Cuts safe to use, and are they effective?",did you want to know if anyone near you has tried it,No I want information on animal cuts,"No, I want to know if Animal Cuts are safe to use and effective.",True,How do you treat severe angular cheilitis?,are you looking for webmd websites or mayo clinic websites about angular cheilits,I want to know how to treat severe angular cheilitis.,No I am looking for information on treatment,False,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,Find examples of employee performance appraisals.,,are you looking for appraisal companies near you,"No, I want to know what an employee performance appraisal is.",Yes I want examples of employee performance appraisals,,Find the seating chart of Churchill Downs.,which part of churchill downs are you interested in knowing more about,I want to know the seating chart.,Yes I want the seating chart of the churchill downs,False,False,,,Tell me about kiwi,answer_2,,,,
Find information on Breeders Cup races.,are you wondering where churchill downs is,No I want information on the races,"No, I want to know when the next Breeders Cup race is.",True,Find information on the artwork used on rock music album covers.,would you like to know anything specific about rock music,Yes I would like information on the images used on rock music album covers,"Yes, I want to know about the artwork used on rock music album covers.",True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,What famous generals fought in the US civil war?,,are you looking for a union victory,Yes,"No, I want to know what famous generals fought in the US civil war.",,Find directions to the Ritz Carlton Lake Las Vegas.,would you like the location of the ritz carlton lake las vegas,"Yes, I would like the location and directions to the Ritz Carlton Lake Las Vegas.",No I would like directions to the ritz carlton lake las vegas,False,True,,,Tell me about kiwi,answer_2,,,,
What are the different brands of pressure washers?,are you wondering what a pressure washer is,"No, I want to know the different brands of pressure washers.",No,False,What are the educational benefits of social networking sites?,which social networking sites would you like information on,No I want to know the benefits,All of them.,True,"Historical facts about Cass County, Missouri.",do you have travel plans,Yes I am interested in historical facts about the county,"No, I just want to know historical facts about Cass County, Missouri.",True,"Find information on various types of computer memory, and how they are different.",,are you interested in the type of memories,"Yes, I want to know about the different types of computer memory, and how they are different.",Yes I am interested in information about computer memory types,,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,yes,"no, I am not",,False,Tell me about kiwi,answer_2,,,,,,
Find information about solar panels that I can install on my home.,would you like the historical information on solar panels,"No, I would like information on solar panels that I can install on my home.",No,False,Information about kiwi fruit.,Are you interested in kiwi bird?,yes,"no, in the fruit",,Find pictures of horse hooves.,what problem is your horse having with their hooves,No,I just want to see pictures of horse hooves.,True,Find a site where I can determine room price and availability.,,are you looking for any specific games to play there,Yes I am looking for a site where I can determine room price and availability,"No, I just want to know the room prices and availability.",,"Find demographic information about Cass County, MO.",is there any specific information that you are looking for,Yes,"I want to know the population, the average income, and the average age.",True,True,,,,,,,Tell me about kiwi,answer_2
Find pictures of horse hooves.,are you looking for information about horseshoe,"No, I want to see pictures of horse hooves.",Yes,False,Find political maps of the United States showing the states and their capitals.,which language of us map would you prefer,I dont know,English,True,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,Find reviews of the Ritz Carlton Lake Las Vegas.,,are you looking for any specific games to play there,Yes I want reviews of the ritz caslax lake las vegas,I'm not looking for any specific games to play there. I just want to know what the reviews of the Ritz Carlton Lake Las Vegas are.,,Find complete (not partial) recipes for beef stroganoff.,what is your favorite cut of beef to be used for the recipe,"I don't have a favorite cut of beef, I just want a complete recipe for beef stroganoff.",I dont know,False,True,,,Tell me about kiwi,answer_2,,,,
"Find flight information for the Ontario, CA airport.",would you like to book a flight at ontario california airport,No I need the flight information,"No, I just want to find information on it.",True,Can I grow a kiwi fruit tree?,are you interested in images of the kiwi fruit,"No, I want to know if I can grow a kiwi fruit tree.",Yes,False,Can I grow a kiwi fruit tree?,are you looking for kiwi birds for sale,"No, I want to know if I can grow a kiwi fruit tree.",No,False,Detailed information about kiwi bird.,Tell me about kiwi,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,answer_1,What kinds of solar panels and photovoltaic cells are there?,do you want to know where solar panels are typically installed in a home,Yes,"No, I want to know about the different types of solar panels and photovoltaic cells.",True,,,,,,,,,
How is workplace diversity achieved and managed?,are you looking into diversity in hiring,yes,No I am looking for the outcome of the company in general,False,"What hotels are near the Ontario, CA airport?",would you like to book a hotel there,"No, I just want to know what hotels are near it.",No I would like to find a listing of hotels near the airport,False,Information about kiwi fruit.,Are you interested in kiwi bird?,"yes, I wanna know about the bird",no,,"Find a map of the area around the US Capitol, including nearby sites to visit.",,do you want to know if there is tour information on the us capitol map,Yes I would like a map of the area,"No, I just want a map of the area around the Capitol, including nearby sites to visit.",,information on the state income tax in Illinois,do you want to get helping completing your illinois state tax return,"No, I want information on the state income tax in Illinois.",No I want to know about the income tax in the state of indiana,False,True,,,Tell me about kiwi,answer_2,,,,
Information about kiwi fruit.,Are you interested in kiwi bird?,yes,no,,information about Indian tribes that used adobe houses,do you need any specific information about people who resided in adobe houses,Yes I want information about tribes that used adobe homes,"Yes, I would like to know about Indian tribes that used adobe houses.",True,Where can I buy radio-controlled planes?,do you want stores with physical locations or online stores,No I need to find a radiocontrolled plane,I want to know where I can buy radio-controlled planes.,True,Where are Brooks Brothers outlet stores located?,,are you looking for a brooks brothers outlet,"Yes, I'm looking for a Brooks Brothers outlet store.",No I am looking for stores located near me,,Find calorie counts and other nutritional information about Starbucks products.,are you looking for current news related to starbucks,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",No I want information on the nutritional information for the company itself,False,False,,,,,Tell me about kiwi,answer_2,,
