topic_id,facet_id,facet,initial_request,question1,answer1,question2,answer2,question3,answer3
222,F0508,What are the symptoms and signs of male menopause?,I'm looking for information on male menopause,would you like to know what age men may start male menopause,"84    Yes
Name: answer, dtype: object",do you want to know the symptoms of male menopause,"85    No, I want to know how menopause can affect my...
Name: answer, dtype: object",is this an emergency,"86    No, I want to know what symptoms menopause can...
Name: answer, dtype: object"
285,F0713,What are the symptoms of a magnesium deficiency?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,yes i would like to know what the symptoms are,want to learn what other minerals are in foods that are high in magnesium,"88    yes
Name: answer, dtype: object",would you like to learn the drawbacks to consuming magnesium rich foods,"No, I want to know what the symptoms are."
215,F0484,What information is available about Maryland parks and recreation?,Info on maryland department of natural resources,do you want to know the location of maryland department of natural resources,"90    no i am interested in learning about the activ...
Name: answer, dtype: object",do you want to know more about jobs in connecticut,"91    No, I want to know what jobs are available there
Name: answer, dtype: object",are you interested in any specific city in florida,"92    no i am interested in how carpenterter bees work
Name: answer, dtype: object"
243,F0564,Find pictures of the Afghanistan flag.,Find information about afghanistan flag,do you want to know how many square miles afghanistan is,"93    no i want to know how to build one
Name: answer, dtype: object",would you like to know where afghanistan is on the map,"94    Yes, that is right
Name: answer, dtype: object",are you looking for a map of afghanistan,"95    Yes, that is what I need to know.
Name: answer, dtype: object"
233,F0534,What commercial hair dyes are available?,Tell me about hair dye.,are you interested in a particular hair dye or a history of hair dye,"96    No, I want to know about commercial hair dye.
Name: answer, dtype: object",do you know what color of hair dye to use,"97    yes i would like to know about the movies i ca...
Name: answer, dtype: object",what color of hair dye are you looking for,"98    Yes, I want to know about commercial hair dye.
Name: answer, dtype: object"
285,F0712,Which foods are rich in magnesium?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,"Yes, I would like to know about the history of it.",want to learn what other minerals are in foods that are high in magnesium,"100    Yes, that's perfect.
Name: answer, dtype: object",would you like to learn the drawbacks to consuming magnesium rich foods,"101    No, I would like to know what foods are high i...
Name: answer, dtype: object"
273,F0670,Is there a genetic basis to Wilson's disease?,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"102    no i want to know about the causes
Name: answer, dtype: object",what can i tell you about wilsons disease,"103    No, I would like to know about the symptoms of...
Name: answer, dtype: object",would you like to know the definition of wilsons disease,"104    No, I just want to know about the treatment of...
Name: answer, dtype: object"
273,F0667,What is the relationship between Wilson's disease and zinc?,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"105    no i want to know what the relationship betwee...
Name: answer, dtype: object",would you like to know about potential cures for wilsons disease,"106    no i want to know what causes zinc
Name: answer, dtype: object",what do you need to know about wilsons disease,"107    I don't know
Name: answer, dtype: object"
210,F0463,Is there a golf gps app for the Iphone?,golf gps,would you like a comparison of golf gps systems,"108    No, I need a golf gps app for the Iphone.
Name: answer, dtype: object",are you interested in the accuracy of the gps,"109    No, I would like to know about the golf gps ap...
Name: answer, dtype: object",are you interested in how gps was orginally made,"110    yes and what it is
Name: answer, dtype: object"
243,F0566,What does the Afghanistan flag's Arabic inscription mean?,Find information about afghanistan flag,would you like to know the origin of the afghanistan flag,"111    Yes, I would like to know what the Afghanistan...
Name: answer, dtype: object",are you interested in purchasing an afghanistan flag,"112    Yes, I am interested in purchasing one.
Name: answer, dtype: object",do you want to see what the afghanistan flag looks like,"113    No, I just want to know what the Afghanistan f...
Name: answer, dtype: object"
273,F0667,What is the relationship between Wilson's disease and zinc?,Give me information on wilson's disease.,are you interested in description of the disease,"114    Yes, I would like to know about the relationsh...
Name: answer, dtype: object",would you like to hear about treatments for this disease,"115    Yes, I would like to know about the relationsh...
Name: answer, dtype: object",are you looking for the symptoms of this disease,"116    No, I want to know what causes Wilson's disease.
Name: answer, dtype: object"
273,F0665,Find Wilson (Wilson's) Disease Association web site.,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"117    no i want to know what symptoms Wilson's disea...
Name: answer, dtype: object",would you like to know about potential cures for wilsons disease,"118    No.
Name: answer, dtype: object",what do you need to know about wilsons disease,"119    i want to know about Wilson's Disease association
Name: answer, dtype: object"
269,F0646,Find the Marshall County Schools in Kentucky school calendar,Find information about marshall county schools.,which state would you like to find out about in regards to marshall county schools,"120    Yes
Name: answer, dtype: object",would like to know a list of marshall county schools in your state,"121    No, I just want to know the schools in the town.
Name: answer, dtype: object",what state are you searching for marshall county schools,"122    No, I want to know about schools that are in t...
Name: answer, dtype: object"
285,F0712,Which foods are rich in magnesium?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,"Yes, I would like to know about the history of it.",would you like to learn about symptoms of magnesium deficiency,"124    No, I just want to know the benefits of being ...
Name: answer, dtype: object",want to learn what other minerals are in foods that are high in magnesium,"125    no i want to know about symptoms
Name: answer, dtype: object"
253,F0594,What are the dangers/complications of leaving a tooth abscess untreated?,What treatments are available for a tooth abscess?,are you looking for pictures of a tooth abscess,"126    no i want to know the benefits of yoga
Name: answer, dtype: object",do you want to see a selfquiz to determine if you have a tooth abscess,"127    No.
Name: answer, dtype: object",do you want to know how a tooth abscess is treated,"128    No, I need to know the dangers of leaving a to...
Name: answer, dtype: object"
273,F0666,What are the symptoms of Wilson's disease?,Give me information on wilson's disease.,are you interested in description of the disease,"129    Yes, I want to know what it is.
Name: answer, dtype: object",would you like to hear about treatments for this disease,"130    Yes, that's right.
Name: answer, dtype: object",are you looking for the symptoms of this disease,"131    Yes, that is exactly what I am looking for.
Name: answer, dtype: object"
215,F0485,What are the dates for Maryland hunting season?,Info on maryland department of natural resources,do you want to know the location of maryland department of natural resources,"132    no i would like to know the date of the maryla...
Name: answer, dtype: object",are you interested in any specific city in florida,"133    I would like to know the dates of the Maryland...
Name: answer, dtype: object",what area is florida are you interested in,"134    no i want to know the history of hoboken
Name: answer, dtype: object"
273,F0669,Find pictures of the Kayser-Fleischer ring that is a sign of Wilson's disease.,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"135    yes i am looking for the kayser ring that is a...
Name: answer, dtype: object",would you like to know about potential cures for wilsons disease,"136    No, I want pictures of the Kayser-Fleischer ri...
Name: answer, dtype: object",what would you like to know about wilsons disease,"137    I would like to know the treatment of wilsons ...
Name: answer, dtype: object"
273,F0668,What diet should a person with Wilson's disease follow?,Give me information on wilson's disease.,are you interested in description of the disease,"138    no i am interested in the diet of a person wit...
Name: answer, dtype: object",would you like to hear about treatments for this disease,"139    Yes, that is what I need to know.
Name: answer, dtype: object",are you looking for the symptoms of this disease,"140    No, I want to know what diet should a person w...
Name: answer, dtype: object"
210,F0466,Where can I get a used golf gps device?,golf gps,would you like to buy a golf gps system,"141    Yes, I need to know if I can get a used golf g...
Name: answer, dtype: object",are you interested in a specific golf gps system,"142    No just the devices that work with it.
Name: answer, dtype: object",would you like to know how gps systems are used in golf,"143    yes
Name: answer, dtype: object"
243,F0565,What does the Afghanistan flag's national emblem represent?,Find information about afghanistan flag,do you want to know how many square miles afghanistan is,"144    yes
Name: answer, dtype: object",would you like to know where afghanistan is on the map,"145    yes
Name: answer, dtype: object",are you looking for a map of afghanistan,"146    No.
Name: answer, dtype: object"
273,F0666,What are the symptoms of Wilson's disease?,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"147    no i want to know what symptoms i can expect
Name: answer, dtype: object",what can i tell you about wilsons disease,"148    I want to know about Wilson's disease
Name: answer, dtype: object",do you want to know the symptoms of wilsons disease,"149    Yes, I would like to know the symptoms of Wils...
Name: answer, dtype: object"
243,F0567,How can I purchase an Afghanistan flag?,Find information about afghanistan flag,would you like to know the origin of the afghanistan flag,"150    No, I want to know what I can buy an afghanist...
Name: answer, dtype: object",are you interested in purchasing an afghanistan flag,"151    no
Name: answer, dtype: object",what would you like to know about the afghanistan flag,"152    Yes, and what are the causes?
Name: answer, dtype: object"
233,F0537,What hair dye options should be considered during pregnancy?,Tell me about hair dye.,would you like to know about hair dye brands,"153    no i want to know the different dye options
Name: answer, dtype: object",what hair dye brand will you use,"154    i want to know what hair dye options they shou...
Name: answer, dtype: object",are you interested in hair dye color shades,"155    Yes, specifically if they are suitable for pre...
Name: answer, dtype: object"
233,F0535,Find information on making homemade hair dye products.,Tell me about hair dye.,are you interested in a particular hair dye or a history of hair dye,"156    no i want information on making a hair dye
Name: answer, dtype: object",what color of hair dye are you looking for,"157    No, I would like to know how to make hair dye ...
Name: answer, dtype: object",do you know what color of hair dye to use,"158    Yes
Name: answer, dtype: object"
237,F0548,What are some of the causes for a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,no i want to know if it is related to menopause,what type of medical information on lumps in the throat would you like,"160    no i want to know the reasons
Name: answer, dtype: object",do you wish to see possible causes of a lump in throat,"161    Yes, please give me a list of movies and TV sh...
Name: answer, dtype: object"
215,F0483,How do you get a Maryland fishing license?,Info on maryland department of natural resources,do you want to know the location of maryland department of natural resources,"162    Yes, that's right
Name: answer, dtype: object",would you like to conact the maryland department of natural resources,"163    no i would like to know the advantages of yoga
Name: answer, dtype: object",would you like more information on the wildlife the maryland department of natural resources manages,"164    yes
Name: answer, dtype: object"
285,F0714,What are the effects of too much magnesium?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,no i want to know how much magnesium a child needs,do you want to find recipes to learn how to make magnesium rich foods,"166    no i would like to know about the effects of t...
Name: answer, dtype: object",are you interested in tips for including more magnesium rich foods into your daily feet,"167    yes
Name: answer, dtype: object"
222,F0509,Find information on male menopause medication.,I'm looking for information on male menopause,are you interested in the differences between male and female menopause,"168    Yes, but only for yoga classes.
Name: answer, dtype: object",are you interested to see male menopause jokes,"169    yes
Name: answer, dtype: object",why are you interested in learning more about male menopause,"170    Yes, I need to know which medications are safe...
Name: answer, dtype: object"
210,F0463,Is there a golf gps app for the Iphone?,golf gps,would you like to buy a golf gps system,"171    Yes, I need a golf gps app for the phone
Name: answer, dtype: object",are you interested in a specific golf gps system,"172    Yes I am
Name: answer, dtype: object",are you looking for reviews of gps apps,"173    Yes, I want to know if there is a golf gps app...
Name: answer, dtype: object"
233,F0537,What hair dye options should be considered during pregnancy?,Tell me about hair dye.,are you interested in a particular hair dye or a history of hair dye,"174    yes i would like to know about treatments
Name: answer, dtype: object",do you know what color of hair dye to use,"175    No, I would like to know about hair dye option...
Name: answer, dtype: object",what color of hair dye are you looking for,"176    No, I would like to know about the history of ...
Name: answer, dtype: object"
253,F0596,Which antibiotics are used to treat a tooth abscess.,What treatments are available for a tooth abscess?,would you like to learn about home remedies for treating a tooth abscess,"177    no i want to know about treatments
Name: answer, dtype: object",would you like to know the symptoms of a tooth abscess,"178    yes i am interested in a computer simulation
Name: answer, dtype: object",are you looking for treatments,"179    No, I just want to know about the side effects.
Name: answer, dtype: object"
210,F0465,Is there a golf gps system that can be used world wide?,golf gps,would you like to buy a golf gps system,"180    Yes
Name: answer, dtype: object",would you like to know how gps systems are used in golf,"181    No, I would like to know how golf gps is used ...
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"182    Yes, please give me more information
Name: answer, dtype: object"
300,F0773,Find a page that explains how to compute the mean of a set of numbers.,How to compute the mean of a set of numbers,are you looking for the us civil servant pay scale,"183    yes i am looking for the tools and information...
Name: answer, dtype: object",would you like to know more about the history behind the gs pay scale,"184    no i need to know how to get a computer to do ...
Name: answer, dtype: object",what gs pay scale are you looking for,"185    I don't know
Name: answer, dtype: object"
233,F0536,Where can I find organic or chemical free hair dye products?,Tell me about hair dye.,would you like to know about hair dye brands,"186    no i want to know what kind of devices are use...
Name: answer, dtype: object",would you like to know about hair dye colors,"187    Yes
Name: answer, dtype: object",are you interested in hair dye application or removal,"188    Yes, I need to know about their products.
Name: answer, dtype: object"
210,F0462,"Compare Bushnell, Callaway and Garmin golf gps systems.",golf gps,would you like a comparison of golf gps systems,"189    Yes, I would like to know the benefits of a ke...
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"190    No, I want to know about the gps system.
Name: answer, dtype: object",are you interested in the accuracy of the gps,"191    No, I want to know what causes altitude sickness.
Name: answer, dtype: object"
210,F0465,Is there a golf gps system that can be used world wide?,golf gps,would you like a comparison of golf gps systems,"192    No, I need to know which ones are safe to use ...
Name: answer, dtype: object",are you interested in the history of gps systems in golf,"193    Yes, that is what I need to know.
Name: answer, dtype: object",are you interested in the accuracy of the gps,"194    No, I want to know what kind of golf gps syste...
Name: answer, dtype: object"
215,F0483,How do you get a Maryland fishing license?,Info on maryland department of natural resources,do you want to know what jobs are available at the maryland department of natural resources,"197    yes
Name: answer, dtype: object",are you referring to the the department of natural resources in maryland,"198    no i want to know how to get a maryland fishin...
Name: answer, dtype: object",would you like to know the responsibilities of the maryland department of natural resources,"199    Yes, that's right
Name: answer, dtype: object"
269,F0645,Find information about Marshall County Schools in West Virginia.,Find information about marshall county schools.,which state would you like to find out about in regards to marshall county schools,no i want to know about Marshall County schools,what state are you searching for marshall county schools,I don't know.,would like to know a list of marshall county schools in your state,"No, I would like to know about Marshall County schools in West Virginia."
233,F0538,Find reviews of hair dye removers.,Tell me about hair dye.,are you interested in a particular hair dye or a history of hair dye,"203    no i want reviews about hair dye removers
Name: answer, dtype: object",do you know what color of hair dye to use,"204    yes and i would like to know the history of it
Name: answer, dtype: object",what color of hair dye are you looking for,"205    No, I want reviews of hair dye removers.
Name: answer, dtype: object"
237,F0551,Find information about difficulty in swallowing caused by a lump in the throat.,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,Yes.,would you like to view sad movies or shows that give you a lump in your throat,"207    yes
Name: answer, dtype: object",are you interested in the reasons a lump in the throat occurs,"Yes, that's right."
300,F0773,Find a page that explains how to compute the mean of a set of numbers.,How to compute the mean of a set of numbers,would you like to see how to calculate a mean formula,"209    no i want to know how to calculate it
Name: answer, dtype: object",are you interested in calculating a mean value,"210    no i want to find a page that explains how to ...
Name: answer, dtype: object",would you like to know the definition of the word mean,"211    yes, i want to know how to calculate the mean ...
Name: answer, dtype: object"
273,F0669,Find pictures of the Kayser-Fleischer ring that is a sign of Wilson's disease.,Give me information on wilson's disease.,are you interested in description of the disease,"212    yes and other information about it
Name: answer, dtype: object",would you like to hear about treatments for this disease,"213    Yes, but I would also like to see pictures of ...
Name: answer, dtype: object",are you looking for the symptoms of this disease,"214    No, I want to see pictures of the Kayser-Fleis...
Name: answer, dtype: object"
285,F0714,What are the effects of too much magnesium?,I'm interested in magnesium rich foods,would you like to know about magnesium rich foods that are kid friendly,no i want to know how much magnesium a child needs,would you like to learn the drawbacks to consuming magnesium rich foods,"216    yes
Name: answer, dtype: object",want to learn what other minerals are in foods that are high in magnesium,"217    Yes, but only for yoga classes.
Name: answer, dtype: object"
253,F0596,Which antibiotics are used to treat a tooth abscess.,What treatments are available for a tooth abscess?,are you looking for pictures of a tooth abscess,"218    yes i want to know how to treat it
Name: answer, dtype: object",do you want to see a selfquiz to determine if you have a tooth abscess,"219    No, I just want to know what treatments are av...
Name: answer, dtype: object",do you want to know how a tooth abscess is treated,"220    No, I want to know what the symptoms are of.
Name: answer, dtype: object"
243,F0565,What does the Afghanistan flag's national emblem represent?,Find information about afghanistan flag,would you like to know the origin of the afghanistan flag,"221    no i would like to know the different colors
Name: answer, dtype: object",would you like to know if the afghanistan flag has any symbols,"222    Yes, I want to know the history of the war.
Name: answer, dtype: object",are you interested in the symbolism behind the afghanistan flags design,"223    Yes, I want to know what they mean in general.
Name: answer, dtype: object"
222,F0512,Find information on male menopause supplements.,I'm looking for information on male menopause,would you like to know what age men may start male menopause,"224    Yes, tell me more about the history of it
Name: answer, dtype: object",why are you interested in learning more about male menopause,"225    I'm looking for information on male menopause ...
Name: answer, dtype: object",are you interested in the differences between male and female menopause,"226    yes
Name: answer, dtype: object"
253,F0595,What are the concerns with extracting an abscessed tooth?,What treatments are available for a tooth abscess?,are you looking for pictures of a tooth abscess,"227    No, I want to know about the treatment options.
Name: answer, dtype: object",do you want to see a selfquiz to determine if you have a tooth abscess,"228    yes i am looking for reviews on the ontario ca...
Name: answer, dtype: object",do you want to know how a tooth abscess is treated,"Yes, I would like to know about what treatments are available for it."
233,F0534,What commercial hair dyes are available?,Tell me about hair dye.,would you like to know about hair dye brands,"230    no i want to know about commercial hair dyes
Name: answer, dtype: object",would you like to know about hair dye colors,"231    Yes
Name: answer, dtype: object",are you interested in hair dye application or removal,"232    yes
Name: answer, dtype: object"
243,F0566,What does the Afghanistan flag's Arabic inscription mean?,Find information about afghanistan flag,do you want to know how many square miles afghanistan is,"233    yes i want to know what the Afghanistan flag's...
Name: answer, dtype: object",would you like to know where afghanistan is on the map,"234    Yes, I need to know what the Afghanistan flag'...
Name: answer, dtype: object",are you looking for a map of afghanistan,"235    No, I want to know what the Afghanistan flag's...
Name: answer, dtype: object"
215,F0486,Find information about the Maryland Department of Natural Resources police.,Info on maryland department of natural resources,do you want to know what jobs are available at the maryland department of natural resources,"236    yes, and how much is the contribution made by ...
Name: answer, dtype: object",do you want to know the location of maryland department of natural resources,"237    no i want to know about the jobs available at ...
Name: answer, dtype: object",are you referring to the the department of natural resources in maryland,"238    Yes, I need to know about the Maryland Departm...
Name: answer, dtype: object"
237,F0548,What are some of the causes for a lump in the throat?,Find me information about a lump in the throat.,would you like to know how to fix a lump in the throat,no i want to know if it is related to menopause,do you wish to see possible causes of a lump in throat,"240    yes, tell me more
Name: answer, dtype: object",are you interested in the reasons a lump in the throat occurs,"241    Yes, but specifically the causes of it.
Name: answer, dtype: object"
253,F0593,What treatments are available for a tooth abscess?,What treatments are available for a tooth abscess?,would you like to learn about home remedies for treating a tooth abscess,"242    yes
Name: answer, dtype: object",would you like to know the symptoms of a tooth abscess,"243    Yes
Name: answer, dtype: object",are you interested in the causes of tooth abscesses,"244    Yes, specifically tooth abscesses.
Name: answer, dtype: object"
273,F0668,What diet should a person with Wilson's disease follow?,Give me information on wilson's disease.,do you want information on the treatment of wilsons disease,"245    Yes, I would like to know the diet to follow.
Name: answer, dtype: object",would you like to know about potential cures for wilsons disease,"246    no i want to know diet and exercise
Name: answer, dtype: object",would you like to know the typical treatment for wilsons disease,"247    Yes
Name: answer, dtype: object"
222,F0512,Find information on male menopause supplements.,I'm looking for information on male menopause,are you interested in the differences between male and female menopause,"248    yes i would like to know the symptoms
Name: answer, dtype: object",are you interested to see male menopause jokes,"249    No, I want to know what male menopause is like.
Name: answer, dtype: object",why are you interested in learning more about male menopause,"250    I want to know what male menopause is
Name: answer, dtype: object"
